Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"5/12/2020","2020-05-12T09:01:16.000Z","","Running","7.01 Km","35m 24s","7 m","7 m","475 KCal","Very Good ","","11.87 km/h","05:03 min/km","","156 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7xzAFMm6dHiHAYRTUBfwwxfrXA3U7o"
"5/13/2020","2020-05-13T08:47:03.000Z","","Running","5.20 Km","26m 38s","51 m","7 m","349 KCal","Very Good ","","11.71 km/h","05:07 min/km","","152 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7y4LeUoRffBAgQzP73WJZqYvhbvz9z"
"5/14/2020","2020-05-14T07:19:10.000Z","","Running","13.42 Km","01h 07m 54s","44 m","56 m","956 KCal","Very Good ","","11.86 km/h","05:03 min/km","","163 bpm","","","58.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7yAncuwwks5pKZ8GTf6dpYiDi4Wrap"
"5/15/2020","2020-05-15T08:14:23.000Z","","Running","5.21 Km","27m 00s","14 m","28 m","365 KCal","Very Good ","","11.59 km/h","05:10 min/km","","155 bpm","","","58.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7yEQihfa1K5oUK3CqFBKXbspcCNTum"
"5/16/2020","2020-05-16T09:16:34.000Z","","Running","16.05 Km","01h 27m 39s","35 m","28 m","1249 KCal","Good ","","10.99 km/h","05:27 min/km","","165 bpm","","","58.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7yJdYbqCJXPzbwUAU1dTeERJn873ZX"
"5/17/2020","2020-05-17T09:20:31.000Z","","Running","5.24 Km","26m 02s","14 m","50 m","374 KCal","Good ","","12.07 km/h","04:58 min/km","","160 bpm","","","58.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Bmudp7apt7G4B6jEPhbctk4SpGPzD"
"5/18/2020","2020-05-18T08:13:52.000Z","","Running","7.03 Km","36m 21s","21 m","14 m","525 KCal","Very Good ","","11.61 km/h","05:10 min/km","","162 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8BqYXtNjcfkZEnuHduUgbogppm1rU2"
"5/19/2020","2020-05-19T07:39:02.000Z","","Running","15.80 Km","01h 21m 03s","35 m","49 m","1209 KCal","Excellent ","","11.70 km/h","05:07 min/km","","169 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Buj5F2M6US7Drtgo7xh8bYYTzsvvE"
"5/20/2020","2020-05-20T07:59:24.000Z","","Running","7.33 Km","40m 16s","7 m","93 m","533 KCal","Very Good ","","10.92 km/h","05:29 min/km","","155 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8ByMAxsmNhF2EjuDDzbqDNGGc8C34h"
"5/21/2020","2020-05-21T07:38:18.000Z","","Running","5.21 Km","29m 06s","7 m","14 m","377 KCal","Very Good ","","10.75 km/h","05:34 min/km","","152 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8C5o9QEMPpiuxK4q46oHiyiLNqPHKD"
"5/22/2020","2020-05-22T08:25:54.000Z","","Running","11.00 Km","57m 49s","35 m","35 m","795 KCal","Very Good ","","11.42 km/h","05:15 min/km","","161 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8C9SC7LmDAbSS3Q3q5Q6ijk9EgtA1N"
"5/23/2020","2020-05-23T10:55:00.000Z","","Running","8.49 Km","40m 28s","42 m","28 m","602 KCal","Excellent ","","12.58 km/h","04:46 min/km","","165 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8CGTHWRskndWSricwuhKUdkvfNQAWe"
"5/24/2020","2020-05-24T09:26:16.000Z","","Running","5.24 Km","25m 22s","100 m","7 m","365 KCal","Good ","","12.40 km/h","04:50 min/km","","159 bpm","","","58.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EjBnmRo8GoTyendgRJe4TUZrs1dK3"
"5/25/2020","2020-05-25T07:24:15.000Z","","Cycling","18.69 Km","01h 00m 18s","64 m","56 m","535 KCal","Good ","","18.60 km/h","","","130 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EoNCHSRTyeCiv6tCogtEf1Aekfh4Q"
"5/25/2020","2020-05-25T08:31:07.000Z","","Running","22.11 Km","02h 07m 24s","148 m","190 m","1784 KCal","Very Good ","","10.41 km/h","05:45 min/km","","162 bpm","","","58.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EoNCRz45zC7Y4JrqGcpLhzwKF3uf7"
