party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,jockers_rinker_sentiment_avg,jockers_rinker_sd_avg,jockers_rinker_sentiment_wtd,jockers_rinker_sd_wtd,senticnet_sentiment_avg,senticnet_sd_avg,senticnet_sentiment_wtd,senticnet_sd_wtd,tot_speeches,tot_words,avg_speech_length
Scottish National Party,0.10182042155639508,0.41181538746593394,0.12989154317205379,0.4975349198523178,0.08888749191444291,0.2291854295477543,0.08395469653643203,0.2457713865699149,0.12419841525561295,0.30213067513225306,0.129360283075742,0.32924116720508995,0.024561013546569043,0.24323185699865502,0.022291129262437644,0.2835445093588823,0.20913359592201616,0.22894798956446086,0.21611771211214478,0.21611771211214478,0.07549682909594158,0.24148430045650135,0.06570275264576197,0.06570275264576197,0.23308188966023557,0.30817668490713057,0.24284238815830056,0.24284238815830056,29350,4901105,166.98824531516183
SNP,0.07440641575237679,0.36742475297002314,0.12262258124907854,0.4479071599801755,0.07221287226143269,0.21643567894157742,0.06553101977902093,0.23701026653040286,0.08963497596394085,0.2909184733389396,0.08500730098566048,0.3273400065755999,0.02051476315110252,0.22670429381489027,0.003704471981026013,0.26686739093915146,0.18503755302310562,0.21034293378549979,0.19432870509237413,0.19432870509237413,0.061576432670120335,0.2291687892129394,0.050343495588529644,0.050343495588529644,0.21551263439614698,0.3079532023956332,0.2259770744955909,0.2259770744955909,330,48432,146.76363636363635
Social Democratic,0.10732163778116918,0.4160806741902188,0.13286373944708568,0.4906371637608029,0.09557108425852702,0.23215931084151006,0.08912450464673498,0.2512454206002547,0.1397880458660472,0.3099322539359562,0.1487418592525245,0.33862866904656463,0.025716638140322556,0.2599864623513815,0.019038094003281332,0.2938252882021063,0.19347002426089963,0.22741149063347388,0.19657252882469795,0.19657252882469795,0.08242659911176299,0.24583617561923726,0.07041931931995478,0.07041931931995478,0.22166997731141874,0.30427985228441967,0.2196681481182724,0.2196681481182724,7326,1867387,254.8985803985804
Social Democratic & Labour Party,0.09544813430756342,0.42712238422914717,0.09325150122849866,0.4961571941427554,0.09261193628069428,0.23146967237987245,0.07895073723502119,0.24626042926295436,0.13579092548991237,0.3035000399775844,0.13636513942233935,0.32611475089385633,0.021423361814550786,0.25268586174251007,0.00571002252955023,0.2832961391081248,0.20699664531443127,0.22998564569953034,0.19904076581400426,0.19904076581400426,0.07760430489006506,0.2439677063722946,0.060035955602521625,0.060035955602521625,0.23459616325187732,0.30707895679456254,0.22629701803073796,0.22629701803073796,4836,1150246,237.85070306038048
Social Democratic Party,0.04789249656973684,0.4312856860636137,0.048721782208495,0.5336624803892694,0.09699966903645615,0.24556588503380425,0.06888746204496923,0.26904493112121186,0.14744519065792153,0.3206930633441008,0.11891325723981293,0.35915040924659114,0.026694946147515577,0.2987611486005418,-0.011596937756193484,0.3349003958177128,0.17564534737649337,0.23219649875003912,0.16183548402055883,0.16183548402055883,0.07668563013011244,0.26733019589767265,0.040999365591296036,0.040999365591296036,0.18994945595059032,0.3108149151663025,0.1651480889139546,0.1651480889139546,315,70236,222.97142857142856
UKIP,0.1582993560114179,0.4704525640519638,0.1890275776386219,0.5796050011680028,0.13318101824028114,0.253385180715699,0.11835449581976143,0.2759157760298151,0.1694479005432267,0.32543571572046925,0.1741613019983104,0.3610529638275923,0.0565474019206686,0.26704324205129154,0.0435390014969365,0.3189730968484346,0.25445911464848986,0.2516622806245737,0.256258128256278,0.256258128256278,0.12152255767585117,0.266394668220803,0.1002768265376146,0.1002768265376146,0.2599971901385483,0.3129822467969331,0.2589168279532556,0.2589168279532556,2453,349666,142.54626987362414
Ulster Progressive Unionist Party,0.015032251159049223,0.4788461559780496,0.01706609042746474,0.5434585804585568,0.05743638655811058,0.24508204206134776,0.04170762573051611,0.26783841014575366,0.10213637202444929,0.32132320417883453,0.10235447587377104,0.3556329284651653,-0.007074201018474344,0.2774132001633681,-0.034869803320283804,0.3027007078810723,0.18902994030442904,0.22158168950659224,0.16998844596284468,0.16998844596284468,0.04878128778877284,0.2576326864563197,0.029765354594347624,0.029765354594347624,0.2311965553811367,0.2878720173626272,0.21225392112680908,0.21225392112680908,701,183636,261.962910128388
Ulster Unionist Party,0.11365951480021212,0.3969097955487694,0.12667355394056715,0.467089271808135,0.09464370623578687,0.2223503224381545,0.0779968894261126,0.23590981760225532,0.13066300613928114,0.2930360873754716,0.1334474019224526,0.31903973610121467,0.024719253504814822,0.24152697606022683,0.011187634055306674,0.2751183401850338,0.19425866718761553,0.21811354071795283,0.18297424830309622,0.18297424830309622,0.08388411970908176,0.23521134448594053,0.06325343204334649,0.06325343204334649,0.22924089170812526,0.29690314145354696,0.2093951569429284,0.2093951569429284,8498,2113764,248.73664391621557
United Kingdom Unionist,0.05601910875247699,0.413348775124056,0.05683226822506469,0.48574522727229125,0.07339410763828788,0.2426137826923258,0.05665443286607302,0.24366999584826127,0.1352015201453741,0.30973892459261093,0.12467226269241613,0.3341649371175924,-0.007251749302094071,0.2334499777320404,-0.01793934838759243,0.2669461039726272,0.17106268956071957,0.19962085498431267,0.17081120998798466,0.17081120998798466,0.06409110292569353,0.25711566372097255,0.045546779777454194,0.045546779777454194,0.18019601413904413,0.28003013563507245,0.18258344718879146,0.18258344718879146,396,69624,175.8181818181818
United Ulster Unionist Party,0.026157056028381684,0.35168816824583254,0.05172727658049156,0.44838620114558997,0.08397364998555361,0.19170220925438652,0.057353906592006225,0.22560936824011027,0.1362438311871414,0.26135927307866863,0.12295746703505324,0.283810771893467,-0.01579623040459823,0.19996607408353767,-0.015075900449592557,0.2510622787368854,0.14769480206684724,0.18512178892071124,0.1564985017441688,0.1564985017441688,0.05705208724012411,0.21928511469564602,0.03303644647230699,0.03303644647230699,0.2375775094142679,0.28195072582975667,0.1727091605111616,0.1727091605111616,49,12538,255.87755102040816
UUP,0.10254110051446391,0.4197753993854351,0.14541024047489423,0.49745929536796085,0.09482512133443467,0.24085362966263232,0.078321394213717,0.25102273253230667,0.1702685049837882,0.3517483608830232,0.1579928882348035,0.35554525493322114,0.031577862209347024,0.2473546375527027,0.014793946143595482,0.28501808203149503,0.21579140397661323,0.23596371503509367,0.22262974629675034,0.22262974629675034,0.0907338727024017,0.24933743235376102,0.0686394389248495,0.0686394389248495,0.23823865797392257,0.3095619858005964,0.2265790463207236,0.2265790463207236,206,30409,147.61650485436894
NA,0.23642761071561585,0.5007247344089074,0.30598557255356296,0.5768844775855576,0.1328221105869598,0.2366195788278445,0.1467974417495617,0.264544031812457,0.1985328130201158,0.31918110725724136,0.24914096757410065,0.3489727978615567,0.0898967580485326,0.25955949875975776,0.10446777861958055,0.2998715003911276,0.22781769694943596,0.24135116410113266,0.23666303058635021,0.23666303058635021,0.11285276474660472,0.25093605863397317,0.12998138536758805,0.12998138536758805,0.20071164035131403,0.29364713246578866,0.2546992182389357,0.2546992182389357,104,10437,100.35576923076923
