party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,sentiword_sentiment_avg,sentiword_sd_avg,sentiword_sentiment_wtd,sentiword_sd_wtd,hu_sentiment_avg,hu_sd_avg,hu_sentiment_wtd,hu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Respect,-0.04869770546471351,0.6938488547633205,-0.07150015937135393,0.8698240700120826,0.012951583831303811,0.26871019274414826,-0.004962191802087035,0.2870402948613013,0.04517133359605288,0.35644077773190264,0.037088038138633525,0.425977537955635,0.0074335408608345145,0.14647524108810364,-0.005956233372137325,0.16032211348439115,-0.02208235545160679,0.4180806857109186,-0.07734724312221467,0.48492005076598177,0.14671438700890782,0.2716473873019594,0.16475977259790592,0.16475977259790592,167,67920,406.7065868263473
Scottish National Party,0.12448773222526717,0.5244028292346917,0.16535461240257185,0.6634875852942411,0.09180819514916284,0.2420026960290397,0.08625802392831763,0.2648059394372007,0.1318995338416967,0.33778385239154723,0.14019413032816264,0.3848453814036547,0.027060577877401622,0.1394140146874871,0.021761582477941997,0.15917331976647967,0.029514299342249434,0.30355412643269875,0.028425465485489777,0.37208660183195996,0.210938462282342,0.23455960934042086,0.21229333871472106,0.21229333871472106,28246,4831203,171.04025348721942
SNP,0.10572722803487067,0.46786471235702504,0.16924996370253037,0.6102351589477674,0.07649811725931434,0.22844508899683097,0.07310091023842641,0.2606745470810674,0.09147478488339557,0.3261646372689412,0.09867434070511856,0.38736207652231386,0.022410517745017868,0.13874297529353194,0.012350771649036798,0.15495023178219933,0.0354256537447027,0.288370866154472,0.027468235173210634,0.3622139813344654,0.1934774908254828,0.20578413111420646,0.2137213145336609,0.2137213145336609,331,50163,151.54984894259817
Social Democratic,0.1177151814791457,0.4993970609449265,0.15627176618065147,0.6269134912576961,0.09468998945270317,0.2392731683177559,0.09059890582374015,0.2651941535781933,0.14131765558004036,0.3368520548102662,0.1562000539720105,0.3788518734711701,0.029088952230997167,0.13891382307220104,0.019939042453481097,0.15688118808436616,0.029604358323117225,0.3027069327311002,0.023831362043668827,0.36176375120709375,0.1915736012710577,0.2132581181843925,0.20974183642184469,0.20974183642184469,7865,1926802,244.984361093452
Social Democratic & Labour Party,0.11812357230123897,0.5478668278252801,0.12400735877531688,0.684735434487634,0.09393387331430623,0.2463497485763787,0.08109771014151687,0.2677348819983426,0.14467855733568583,0.34388374272703454,0.14858994942850576,0.3847626453041544,0.030051655292925875,0.1391548116277378,0.022310242648953683,0.1577131394078249,0.02396832546798659,0.3207720647753944,0.00747184367261655,0.3733199410079562,0.20787577028731485,0.2242743218228118,0.2127974963397054,0.2127974963397054,5019,1237140,246.49133293484758
Social Democratic Party,0.06059548155573819,0.46722051496884615,0.06987984368033182,0.6029835385475515,0.087253121015089,0.24263472954288007,0.06581529932618435,0.26129240377176943,0.13515262293571137,0.3334061360561174,0.12099305617854798,0.3707803440477117,0.025234252712514657,0.13471871632490387,0.015509927639176602,0.15574175532861642,0.014984722165367934,0.2968518328951057,-0.009962105003796991,0.34865484438258587,0.17083165533092987,0.20925731143281445,0.18071582336295072,0.18071582336295072,1146,268196,234.02792321116928
UKIP,0.1726432478157773,0.5725823573154225,0.19897084567114545,0.7870471429736611,0.13215687587646452,0.265653818128792,0.11181002008711163,0.2953563928292857,0.17196837809929622,0.35923101793993756,0.17005164000074927,0.41546583046762114,0.036037790808867515,0.13962121761614696,0.025417097286724477,0.16615175341929267,0.06274984654844419,0.31791100185122284,0.045619654427763834,0.3987598905989132,0.25809337508484476,0.2532250804851022,0.27398218646049977,0.27398218646049977,2558,395659,154.67513682564504
Ulster Progressive Unionist Party,0.024695368229451575,0.5708287548710275,0.019167916573463343,0.6702758332248123,0.06295650752145278,0.2513431560503538,0.043033271047711215,0.2804580696920113,0.10818087831269506,0.33686347922033555,0.10676147323567277,0.38495324351889953,0.011382283676401397,0.1419296402477677,-9.737036584988313e-4,0.16325908246415946,-0.009065484553916562,0.31696412714049493,-0.04001885513405506,0.36094332579137384,0.1923759738996594,0.21056625686899338,0.19491607251011886,0.19491607251011886,701,184906,263.77460770328105
Ulster Unionist Party,0.14299092701541946,0.4910851467987652,0.16503652726473964,0.6349902875336333,0.09670479279047835,0.23322408399602151,0.08275462134401274,0.25396015426573193,0.14126774542881929,0.32550453501570364,0.14862261048831535,0.372120419418507,0.02445024753205012,0.13471453572496112,0.014210571359538083,0.15422175281839767,0.03196603182814487,0.29356049778403326,0.016700424766050728,0.3593647367114753,0.20561175368217527,0.21596966743393745,0.2231303250955544,0.2231303250955544,10689,2496187,233.52858078398353
United Kingdom Unionist,0.11985827910799135,0.5094706290067708,0.12905324263579127,0.6475130372668269,0.07898595910058552,0.24518502365027997,0.06402475791242074,0.25590865600896195,0.14870798444153335,0.33932503401005254,0.14437132374921496,0.3849872009329219,0.016335199922862722,0.12386804322466455,0.015947207583110263,0.1421626917097461,-0.004313675632670968,0.29977349720073465,-0.014040834780682238,0.362539601265475,0.1884041902497076,0.2179096830148963,0.19771957450801825,0.19771957450801825,396,70137,177.11363636363637
United Ulster Unionist Party,0.033378079403033806,0.41713900153529554,0.021885363146139227,0.6350895186468429,0.08156573536010728,0.19397631320649567,0.05724626405051399,0.23756802793768914,0.16098884289478552,0.2818072765308502,0.13306420351379922,0.33476146243858135,0.009456172796672775,0.12025934329230117,-0.006867028008898129,0.14229859614254825,-0.03125172117213305,0.2425466742559969,-0.04682316272142441,0.3406434695934308,0.13798366968948206,0.18646060216861496,0.14306345799673295,0.14306345799673295,49,12610,257.3469387755102
